group,team
A,Cameroon
A,Mexico
A,Panama
A,Senegal
B,Costa Rica
B,England
B,Ivory Coast
B,South Korea
C,Bolivia
C,Colombia
C,France
C,Paraguay
D,Algeria
D,DR Congo
D,Germany
D,Morocco
E,Italy
E,Jamaica
E,Poland
E,Switzerland
F,Argentina
F,Ecuador
F,Japan
F,Qatar
G,Brazil
G,Egypt
G,Ghana
G,Uruguay
H,Australia
H,Austria
H,Canada
H,Saudi Arabia
I,Denmark
I,New Zealand
I,Nigeria
I,Spain
J,Iran
J,Netherlands
J,Serbia
J,Tunisia
K,Croatia
K,Ukraine
K,United States
K,Uzbekistan
L,Belgium
L,Iraq
L,Portugal
L,Turkey
