date,home_team,away_team,home_score,away_score,tournament,neutral
2018-01-01,Netherlands,Ghana,5,0,Qualifier,0
2018-01-01,Ecuador,Germany,2,1,Friendly,0
2018-01-02,Senegal,Turkey,4,1,Friendly,0
2018-01-03,Ivory Coast,Qatar,3,0,Friendly,0
2018-01-03,Serbia,Denmark,3,2,Friendly,0
2018-01-04,Senegal,Egypt,1,2,Qualifier,0
2018-01-05,Panama,United States,0,2,Qualifier,0
2018-01-06,Italy,Panama,2,0,Friendly,0
2018-01-06,Iran,Uzbekistan,0,0,Friendly,0
2018-01-07,Denmark,Italy,2,1,Friendly,1
2018-01-08,Tunisia,Cameroon,0,1,Qualifier,0
2018-01-09,Croatia,Paraguay,2,0,Friendly,0
2018-01-09,Saudi Arabia,Brazil,0,4,Friendly,0
2018-01-10,Italy,Nigeria,1,1,Qualifier,0
2018-01-11,Switzerland,Ecuador,0,0,Qualifier,1
2018-01-11,United States,Cameroon,3,0,Friendly,0
2018-01-12,Poland,Qatar,2,1,Qualifier,1
2018-01-13,Turkey,Panama,4,0,Qualifier,0
2018-01-14,Spain,Turkey,3,1,Qualifier,0
2018-01-14,DR Congo,Iraq,0,1,Friendly,0
2018-01-15,Brazil,Canada,4,0,Qualifier,1
2018-01-16,Canada,Japan,5,1,Qualifier,0
2018-01-17,Colombia,Brazil,1,1,Friendly,0
2018-01-17,Australia,Netherlands,0,2,Friendly,0
2018-01-18,Uzbekistan,Serbia,0,0,Friendly,1
2018-01-19,United States,France,0,3,Qualifier,0
2018-01-19,Portugal,Ivory Coast,2,0,Qualifier,0
2018-01-20,Italy,Serbia,2,1,Friendly,1
2018-01-21,Ecuador,Ivory Coast,5,0,Qualifier,0
2018-01-22,South Korea,Iraq,1,2,Friendly,0
2018-01-22,Bolivia,Iraq,3,1,Qualifier,0
2018-01-23,Brazil,Paraguay,4,0,Friendly,1
2018-01-24,Canada,Spain,0,0,Qualifier,0
2018-01-25,DR Congo,England,0,3,Friendly,0
2018-01-25,Denmark,Austria,1,0,Qualifier,1
2018-01-26,Costa Rica,Netherlands,0,1,Qualifier,0
2018-01-27,New Zealand,Austria,2,0,Qualifier,0
2018-01-28,Ghana,Uzbekistan,2,0,Friendly,0
2018-01-28,Croatia,Ecuador,2,0,Qualifier,0
2018-01-29,Denmark,DR Congo,4,1,Qualifier,0
2018-01-30,Turkey,Portugal,0,2,Qualifier,1
2018-01-30,Cameroon,Morocco,0,1,Qualifier,0
2018-01-31,Jamaica,Colombia,2,1,Qualifier,1
2018-02-01,Tunisia,Italy,1,3,Qualifier,0
2018-02-02,Belgium,Ivory Coast,3,0,Friendly,0
2018-02-02,Japan,Belgium,0,2,Qualifier,0
2018-02-03,Costa Rica,Paraguay,4,2,Qualifier,1
2018-02-04,Uruguay,Turkey,1,1,Friendly,0
2018-02-05,Japan,Algeria,2,2,Qualifier,0
2018-02-05,Nigeria,Turkey,1,3,Qualifier,1
2018-02-06,New Zealand,Austria,1,2,Friendly,1
2018-02-07,Italy,Japan,3,3,Qualifier,1
2018-02-07,Switzerland,Paraguay,4,1,Friendly,0
2018-02-08,Belgium,Canada,1,1,Qualifier,0
2018-02-09,Germany,Colombia,2,2,Friendly,0
2018-02-10,Canada,Netherlands,2,1,Qualifier,0
2018-02-10,Bolivia,Australia,0,1,Qualifier,0
2018-02-11,Belgium,Colombia,1,0,Qualifier,0
2018-02-12,Spain,Saudi Arabia,7,1,Qualifier,0
2018-02-13,Belgium,Spain,1,1,Friendly,0
2018-02-13,Canada,Colombia,4,2,Qualifier,0
2018-02-14,Portugal,New Zealand,3,0,Qualifier,1
2018-02-15,United States,Brazil,2,3,Friendly,0
2018-02-15,Iraq,Tunisia,0,0,Qualifier,0
2018-02-16,Costa Rica,Iraq,1,1,Friendly,0
2018-02-17,Spain,Japan,2,1,Friendly,0
2018-02-18,Switzerland,United States,1,0,Qualifier,0
2018-02-18,Panama,Costa Rica,2,1,Friendly,0
2018-02-19,Serbia,United States,5,1,Friendly,0
2018-02-20,Tunisia,New Zealand,2,0,Friendly,0
2018-02-21,Paraguay,Nigeria,1,0,Qualifier,0
2018-02-21,Poland,Cameroon,5,2,Qualifier,0
2018-02-22,Senegal,Costa Rica,5,0,Friendly,0
2018-02-23,Uzbekistan,Senegal,3,1,Qualifier,0
2018-02-24,DR Congo,Tunisia,4,0,Qualifier,0
2018-02-24,Qatar,Ukraine,0,1,Friendly,0
2018-02-25,Ecuador,France,1,3,Qualifier,0
2018-02-26,Mexico,Ghana,2,0,Qualifier,1
2018-02-26,Egypt,Netherlands,3,1,Qualifier,0
2018-02-27,Argentina,South Korea,4,0,Friendly,0
2018-02-28,France,Costa Rica,6,1,Friendly,0
2018-03-01,Paraguay,Poland,3,0,Friendly,1
2018-03-01,South Korea,Argentina,1,4,Qualifier,0
2018-03-02,Turkey,Ukraine,1,0,Qualifier,0
2018-03-03,Tunisia,Mexico,0,1,Friendly,0
2018-03-04,Panama,Ecuador,1,1,Friendly,0
2018-03-04,Tunisia,England,0,1,Qualifier,1
2018-03-05,Turkey,Nigeria,1,1,Friendly,0
2018-03-06,Ghana,Canada,1,0,Qualifier,0
2018-03-06,Argentina,Japan,2,0,Qualifier,1
2018-03-07,England,Jamaica,1,0,Friendly,1
2018-03-08,Italy,Algeria,2,1,Qualifier,0
2018-03-09,Paraguay,Croatia,1,4,Qualifier,0
2018-03-09,Tunisia,Costa Rica,1,1,Friendly,1
2018-03-10,Argentina,Cameroon,6,0,Friendly,0
2018-03-11,England,France,2,0,Qualifier,0
2018-03-12,Uruguay,Italy,3,0,Qualifier,0
2018-03-12,Australia,Argentina,1,3,Qualifier,0
2018-03-13,Mexico,Colombia,4,1,Qualifier,0
2018-03-14,Ecuador,Egypt,0,1,Qualifier,1
2018-03-15,Uzbekistan,Argentina,0,6,Qualifier,0
2018-03-15,Germany,Egypt,2,3,Friendly,0
2018-03-16,Spain,Paraguay,5,0,Qualifier,0
2018-03-17,Uzbekistan,Panama,1,1,Friendly,1
2018-03-17,Nigeria,Poland,2,2,Friendly,1
2018-03-18,Serbia,Bolivia,2,0,Qualifier,0
2018-03-19,Egypt,United States,1,6,Friendly,0
2018-03-20,Belgium,Denmark,0,2,Friendly,0
2018-03-20,Croatia,Paraguay,3,0,Qualifier,0
2018-03-21,England,Iran,3,0,Qualifier,1
2018-03-22,Colombia,Senegal,2,1,Qualifier,0
2018-03-23,Serbia,Paraguay,3,1,Qualifier,0
2018-03-23,Ecuador,DR Congo,2,1,Qualifier,0
2018-03-24,Croatia,Italy,0,0,Qualifier,0
2018-03-25,Morocco,Saudi Arabia,2,3,Friendly,0
2018-03-25,Nigeria,Paraguay,0,0,Qualifier,0
2018-03-26,England,Tunisia,4,1,Friendly,0
2018-03-27,DR Congo,Ghana,0,1,Qualifier,0
2018-03-28,Colombia,Cameroon,4,0,Qualifier,0
2018-03-28,Jamaica,Paraguay,4,1,Qualifier,0
2018-03-29,Ivory Coast,Cameroon,4,1,Qualifier,0
2018-03-30,Ukraine,Uruguay,0,3,Friendly,1
2018-03-31,Iran,Turkey,1,2,Qualifier,0
2018-03-31,Croatia,Ghana,2,0,Friendly,0
2018-04-01,Senegal,Poland,3,0,Qualifier,0
2018-04-02,Brazil,Serbia,5,0,Friendly,0
2018-04-02,New Zealand,Qatar,4,1,Qualifier,0
2018-04-03,Poland,Japan,2,2,Friendly,0
2018-04-04,DR Congo,Paraguay,0,1,Friendly,0
2018-04-05,Turkey,Japan,0,1,Qualifier,0
2018-04-05,Morocco,Portugal,1,2,Qualifier,1
2018-04-06,Croatia,Italy,2,4,Qualifier,0
2018-04-07,New Zealand,Serbia,1,3,Qualifier,0
2018-04-08,Uruguay,Paraguay,4,1,Friendly,0
2018-04-08,Turkey,Portugal,0,2,Qualifier,0
2018-04-09,Argentina,England,2,1,Friendly,0
2018-04-10,Canada,Ivory Coast,3,0,Friendly,0
2018-04-11,Japan,England,1,2,Qualifier,0
2018-04-11,Ukraine,Egypt,0,0,Friendly,1
2018-04-12,Uruguay,Iraq,3,1,Qualifier,0
2018-04-13,Cameroon,Brazil,0,2,Qualifier,0
2018-04-13,Spain,Netherlands,2,1,Qualifier,0
2018-04-14,Portugal,Japan,3,1,Qualifier,0
2018-04-15,Bolivia,France,0,3,Friendly,0
2018-04-16,Netherlands,Ecuador,2,0,Friendly,0
2018-04-16,Argentina,Germany,4,0,Friendly,0
2018-04-17,Belgium,Colombia,4,1,Qualifier,0
2018-04-18,Iran,Saudi Arabia,2,0,Qualifier,0
2018-04-19,Ghana,Colombia,0,1,Friendly,0
2018-04-19,Panama,Spain,0,5,Friendly,0
2018-04-20,Panama,Iraq,2,0,Friendly,1
2018-04-21,Qatar,Iraq,1,1,Qualifier,0
2018-04-21,Poland,Paraguay,2,1,Friendly,0
2018-04-22,Uzbekistan,Jamaica,0,2,Qualifier,0
2018-04-23,United States,Austria,0,1,Qualifier,0
2018-04-24,Paraguay,Iran,1,2,Qualifier,0
2018-04-24,Ghana,South Korea,2,0,Qualifier,0
2018-04-25,Germany,Austria,3,0,Friendly,0
2018-04-26,Iran,Denmark,2,1,Qualifier,1
2018-04-27,Turkey,Senegal,1,0,Qualifier,0
2018-04-27,Denmark,Saudi Arabia,2,1,Qualifier,0
2018-04-28,Austria,Italy,3,1,Qualifier,0
2018-04-29,Bolivia,Uzbekistan,1,1,Qualifier,0
2018-04-29,Saudi Arabia,Spain,0,4,Friendly,0
2018-04-30,Portugal,Uzbekistan,3,0,Qualifier,0
2018-05-01,Iraq,Canada,3,3,Qualifier,0
2018-05-02,United States,Ivory Coast,1,0,Friendly,1
2018-05-02,Paraguay,Panama,3,0,Friendly,0
2018-05-03,Denmark,DR Congo,3,0,Friendly,1
2018-05-04,Mexico,Croatia,3,4,Friendly,0
2018-05-05,Croatia,Qatar,2,1,Friendly,0
2018-05-05,Colombia,Paraguay,3,0,Qualifier,0
2018-05-06,New Zealand,Mexico,2,2,Qualifier,0
2018-05-07,United States,Cameroon,0,2,Qualifier,1
2018-05-08,Ghana,Japan,2,2,Qualifier,0
2018-05-08,Senegal,Qatar,4,0,Friendly,0
2018-05-09,Italy,Argentina,3,0,Qualifier,1
2018-05-10,Turkey,Switzerland,1,3,Friendly,0
2018-05-10,Croatia,Ghana,1,0,Qualifier,1
2018-05-11,Ecuador,Ukraine,5,0,Friendly,0
2018-05-12,Argentina,Uruguay,2,0,Qualifier,0
2018-05-13,South Korea,Austria,1,2,Qualifier,0
2018-05-13,Morocco,Bolivia,4,0,Qualifier,0
2018-05-14,South Korea,Paraguay,2,0,Qualifier,0
2018-05-15,Tunisia,New Zealand,3,2,Qualifier,0
2018-05-16,Egypt,Switzerland,1,1,Qualifier,0
2018-05-16,Denmark,South Korea,1,1,Qualifier,0
2018-05-17,Ecuador,Germany,0,2,Qualifier,0
2018-05-18,Tunisia,Ghana,2,0,Qualifier,0
2018-05-18,Australia,Tunisia,1,1,Friendly,0
2018-05-19,Brazil,Croatia,1,0,Qualifier,0
2018-05-20,Germany,Ivory Coast,4,1,Friendly,0
2018-05-21,Switzerland,Italy,1,3,Friendly,0
2018-05-21,Turkey,Germany,2,2,Friendly,0
2018-05-22,Ghana,Ecuador,3,0,Qualifier,0
2018-05-23,Switzerland,Netherlands,1,3,Qualifier,0
2018-05-24,Ivory Coast,Uzbekistan,2,0,Qualifier,0
2018-05-24,DR Congo,Mexico,2,1,Qualifier,0
2018-05-25,Switzerland,Ghana,6,1,Qualifier,0
2018-05-26,Netherlands,Ghana,6,1,Qualifier,1
2018-05-27,Tunisia,Algeria,2,1,Qualifier,0
2018-05-27,Paraguay,Denmark,1,0,Friendly,0
2018-05-28,Australia,Cameroon,2,0,Friendly,0
2018-05-29,Denmark,Paraguay,4,1,Qualifier,0
2018-05-29,England,Argentina,0,4,Friendly,1
2018-05-30,Germany,Panama,2,0,Qualifier,0
2018-05-31,Ghana,Portugal,2,2,Qualifier,1
2018-06-01,Morocco,Ecuador,1,0,Qualifier,0
2018-06-01,Qatar,Nigeria,0,2,Qualifier,0
2018-06-02,Belgium,Iran,2,1,Qualifier,1
2018-06-03,Serbia,Algeria,1,1,Friendly,0
2018-06-04,Serbia,Egypt,2,2,Qualifier,0
2018-06-04,Algeria,Qatar,3,1,Qualifier,0
2018-06-05,Costa Rica,United States,2,0,Friendly,1
2018-06-06,Ecuador,Senegal,1,1,Qualifier,1
2018-06-06,Tunisia,Colombia,0,3,Qualifier,0
2018-06-07,Tunisia,Croatia,1,1,Friendly,0
2018-06-08,Japan,Tunisia,5,1,Friendly,0
2018-06-09,New Zealand,Austria,2,2,Qualifier,0
2018-06-09,Colombia,Uzbekistan,3,0,Qualifier,0
2018-06-10,Denmark,England,1,1,Qualifier,0
2018-06-11,Nigeria,Ivory Coast,0,1,Qualifier,1
2018-06-12,Morocco,Mexico,1,2,Friendly,0
2018-06-12,Ecuador,Argentina,0,2,Qualifier,0
2018-06-13,Iran,United States,1,0,Friendly,0
2018-06-14,Poland,United States,0,1,Qualifier,0
2018-06-14,DR Congo,Mexico,0,2,Friendly,0
2018-06-15,Panama,Algeria,1,2,Qualifier,1
2018-06-16,Poland,Qatar,0,4,Friendly,0
2018-06-17,Qatar,England,1,1,Qualifier,1
2018-06-17,Ivory Coast,Algeria,2,2,Friendly,0
2018-06-18,Cameroon,Japan,2,3,Qualifier,0
2018-06-19,Ukraine,Belgium,1,0,Qualifier,0
2018-06-20,Poland,Nigeria,2,0,Qualifier,0
2018-06-20,Iran,Poland,2,2,Friendly,0
2018-06-21,Italy,Ecuador,1,0,Qualifier,0
2018-06-22,Turkey,Ukraine,2,0,Friendly,0
2018-06-23,Argentina,Spain,2,1,Friendly,0
2018-06-23,Ivory Coast,Argentina,0,2,Qualifier,0
2018-06-24,Saudi Arabia,Colombia,4,2,Friendly,0
2018-06-25,France,Germany,2,2,Friendly,0
2018-06-25,New Zealand,Paraguay,1,2,Qualifier,0
2018-06-26,South Korea,Mexico,1,1,Qualifier,0
2018-06-27,Denmark,Iran,1,0,Friendly,0
2018-06-28,Paraguay,Germany,0,1,Qualifier,0
2018-06-28,New Zealand,Egypt,2,2,Qualifier,1
2018-06-29,Qatar,Austria,0,6,Friendly,0
2018-06-30,Ivory Coast,Japan,0,1,Qualifier,0
2018-07-01,Saudi Arabia,Belgium,0,1,Friendly,1
2018-07-01,Ukraine,Spain,0,1,Friendly,1
2018-07-02,Switzerland,Denmark,4,4,Qualifier,0
2018-07-03,Tunisia,Ivory Coast,1,2,Qualifier,1
2018-07-03,Egypt,Tunisia,2,0,Qualifier,1
2018-07-04,Egypt,Ghana,1,0,Qualifier,0
2018-07-05,Iran,Australia,2,0,Qualifier,1
2018-07-06,Tunisia,Ecuador,1,1,Qualifier,0
2018-07-06,United States,Uzbekistan,1,0,Qualifier,0
2018-07-07,Serbia,Japan,1,2,Qualifier,0
2018-07-08,France,Portugal,2,2,Friendly,0
2018-07-09,Mexico,Argentina,0,1,Qualifier,0
2018-07-09,South Korea,Poland,1,0,Qualifier,0
2018-07-10,Argentina,Bolivia,6,0,Friendly,0
2018-07-11,Senegal,South Korea,1,0,Friendly,0
2018-07-11,Netherlands,Argentina,0,3,Friendly,0
2018-07-12,Germany,Switzerland,2,1,Friendly,0
2018-07-13,Ukraine,New Zealand,3,0,Qualifier,0
2018-07-14,Bolivia,Ghana,1,3,Qualifier,0
2018-07-14,Netherlands,Paraguay,2,0,Friendly,0
2018-07-15,Egypt,Ivory Coast,1,1,Friendly,0
2018-07-16,Colombia,Cameroon,1,2,Friendly,0
2018-07-17,Spain,Nigeria,1,2,Qualifier,0
2018-07-17,South Korea,Cameroon,2,3,Friendly,1
2018-07-18,Argentina,Ivory Coast,4,0,Qualifier,1
2018-07-19,Poland,Turkey,2,1,Qualifier,0
2018-07-20,Japan,Poland,3,1,Friendly,1
2018-07-20,Italy,Mexico,2,2,Friendly,1
2018-07-21,Canada,Iran,2,1,Qualifier,1
2018-07-22,Austria,Panama,0,0,Qualifier,0
2018-07-22,Saudi Arabia,Nigeria,1,2,Friendly,0
2018-07-23,South Korea,Ukraine,0,2,Qualifier,0
2018-07-24,Austria,Netherlands,0,0,Qualifier,0
2018-07-25,Ukraine,Croatia,1,2,Friendly,0
2018-07-25,Switzerland,New Zealand,1,0,Qualifier,0
2018-07-26,Ukraine,Algeria,2,1,Friendly,0
2018-07-27,Canada,Nigeria,2,0,Friendly,0
2018-07-28,Italy,Iraq,3,0,Qualifier,0
2018-07-28,Portugal,Netherlands,4,0,Qualifier,0
2018-07-29,Nigeria,England,1,2,Friendly,0
2018-07-30,Serbia,United States,0,1,Qualifier,0
2018-07-30,Costa Rica,Morocco,2,2,Friendly,0
2018-07-31,Iraq,South Korea,0,1,Qualifier,0
2018-08-01,Egypt,Uruguay,1,3,Friendly,1
2018-08-02,Italy,Tunisia,3,0,Friendly,0
2018-08-02,South Korea,Switzerland,2,2,Friendly,0
2018-08-03,Saudi Arabia,Australia,1,2,Qualifier,0
2018-08-04,Mexico,United States,1,3,Qualifier,0
2018-08-05,Belgium,Iran,2,0,Qualifier,0
2018-08-05,Argentina,Netherlands,4,3,Qualifier,0
2018-08-06,Mexico,Algeria,3,0,Qualifier,0
2018-08-07,New Zealand,France,0,4,Friendly,0
2018-08-08,Costa Rica,Canada,2,1,Friendly,0
2018-08-08,South Korea,United States,3,1,Friendly,1
2018-08-09,Egypt,Paraguay,0,1,Qualifier,0
2018-08-10,Uzbekistan,Croatia,2,1,Qualifier,1
2018-08-10,Switzerland,Algeria,1,0,Qualifier,0
2018-08-11,France,South Korea,3,1,Qualifier,0
2018-08-12,Iraq,Costa Rica,2,0,Friendly,0
2018-08-13,DR Congo,Colombia,1,4,Qualifier,1
2018-08-13,Brazil,South Korea,6,0,Friendly,0
2018-08-14,Nigeria,DR Congo,0,1,Qualifier,0
2018-08-15,Ecuador,Germany,0,1,Qualifier,0
2018-08-16,Paraguay,New Zealand,5,2,Qualifier,0
2018-08-16,Portugal,Paraguay,2,0,Qualifier,0
2018-08-17,New Zealand,Saudi Arabia,0,3,Qualifier,0
2018-08-18,Poland,Morocco,1,2,Qualifier,0
2018-08-18,Portugal,Paraguay,4,1,Qualifier,0
2018-08-19,Mexico,Bolivia,4,1,Friendly,0
2018-08-20,Qatar,Iran,1,4,Friendly,0
2018-08-21,Uzbekistan,Ghana,1,1,Qualifier,0
2018-08-21,Colombia,Austria,3,0,Friendly,0
2018-08-22,Ghana,Japan,2,1,Friendly,0
2018-08-23,Jamaica,Italy,0,3,Qualifier,1
2018-08-24,Denmark,Tunisia,2,0,Friendly,0
2018-08-24,Argentina,Spain,1,4,Qualifier,0
2018-08-25,Ivory Coast,Qatar,1,1,Qualifier,0
2018-08-26,Netherlands,Ukraine,1,1,Friendly,0
2018-08-26,Netherlands,Japan,3,1,Qualifier,0
2018-08-27,Italy,Austria,4,3,Qualifier,0
2018-08-28,Canada,Nigeria,2,1,Friendly,0
2018-08-29,Tunisia,Panama,1,0,Qualifier,0
2018-08-29,Spain,Colombia,3,1,Qualifier,1
2018-08-30,Spain,Australia,6,0,Qualifier,0
2018-08-31,Nigeria,Ivory Coast,2,0,Qualifier,0
2018-09-01,Costa Rica,Senegal,0,1,Friendly,1
2018-09-01,Portugal,Tunisia,4,2,Qualifier,0
2018-09-02,New Zealand,Brazil,0,1,Qualifier,1
2018-09-03,Japan,Colombia,1,1,Friendly,0
2018-09-04,Qatar,Costa Rica,1,1,Friendly,1
2018-09-04,Netherlands,Switzerland,2,0,Qualifier,1
2018-09-05,Algeria,Canada,0,2,Qualifier,1
2018-09-06,Switzerland,Nigeria,1,2,Friendly,0
2018-09-06,Uzbekistan,Uruguay,1,2,Qualifier,0
2018-09-07,Nigeria,Croatia,0,0,Qualifier,1
2018-09-08,Paraguay,Turkey,1,0,Qualifier,1
2018-09-09,Jamaica,Croatia,1,2,Qualifier,0
2018-09-09,Nigeria,Qatar,2,0,Friendly,0
2018-09-10,Denmark,Japan,0,0,Qualifier,0
2018-09-11,DR Congo,Canada,2,1,Qualifier,0
2018-09-12,Switzerland,Argentina,0,4,Qualifier,0
2018-09-12,Croatia,Qatar,3,0,Qualifier,1
2018-09-13,Ukraine,Qatar,6,0,Qualifier,1
2018-09-14,Ivory Coast,United States,0,1,Qualifier,0
2018-09-14,Japan,Saudi Arabia,4,1,Qualifier,0
2018-09-15,Bolivia,Poland,1,2,Friendly,0
2018-09-16,Poland,Ukraine,2,2,Friendly,0
2018-09-17,France,Jamaica,3,1,Qualifier,1
2018-09-17,Colombia,South Korea,3,0,Friendly,0
2018-09-18,Poland,Brazil,1,5,Qualifier,0
2018-09-19,Austria,Ghana,1,1,Qualifier,0
2018-09-20,Switzerland,South Korea,1,1,Friendly,0
2018-09-20,Brazil,Serbia,3,0,Qualifier,0
2018-09-21,Ecuador,Canada,4,0,Friendly,1
2018-09-22,Egypt,Austria,2,1,Qualifier,0
2018-09-22,Tunisia,Germany,2,0,Friendly,0
2018-09-23,Ukraine,Morocco,1,4,Qualifier,1
2018-09-24,Croatia,Spain,0,1,Qualifier,0
2018-09-25,Senegal,Bolivia,3,0,Friendly,0
2018-09-25,England,Croatia,1,0,Qualifier,0
2018-09-26,Ecuador,Belgium,0,0,Qualifier,0
2018-09-27,Australia,Panama,0,1,Friendly,1
2018-09-28,Poland,England,0,0,Friendly,1
2018-09-28,New Zealand,Paraguay,3,1,Friendly,0
2018-09-29,Iran,England,0,2,Qualifier,0
2018-09-30,Saudi Arabia,Portugal,0,1,Qualifier,0
2018-10-01,Nigeria,Senegal,2,2,Qualifier,0
2018-10-01,Tunisia,Algeria,1,0,Friendly,0
2018-10-02,South Korea,Italy,0,0,Friendly,0
2018-10-03,Italy,United States,3,0,Qualifier,0
2018-10-03,Poland,Qatar,3,0,Friendly,1
2018-10-04,Senegal,Saudi Arabia,3,1,Friendly,0
2018-10-05,Portugal,Serbia,3,2,Qualifier,0
2018-10-06,Germany,Ukraine,1,0,Friendly,1
2018-10-06,Iraq,Paraguay,1,3,Friendly,0
2018-10-07,Poland,Turkey,4,0,Qualifier,1
2018-10-08,DR Congo,Ukraine,1,0,Friendly,0
2018-10-09,Poland,Netherlands,1,1,Qualifier,0
2018-10-09,Serbia,Italy,2,3,Friendly,1
2018-10-10,Iraq,Senegal,0,1,Friendly,0
2018-10-11,Costa Rica,Colombia,2,2,Qualifier,0
2018-10-11,Senegal,Spain,0,1,Qualifier,0
2018-10-12,Ecuador,Ukraine,1,0,Friendly,0
